Book Name,Author,Price,Customers_Rated,Rating,Book_cover
"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",Tieghan Gerard,$18.27 ,"10,314","4.8 out of 5 stars 10,314",Hardcover
What to Expect When You're Expecting,Heidi Murkoff,$12.70 ,"27,460","4.8 out of 5 stars 27,460",Paperback
Rand McNally 2022 Large Scale Road Atlas,Rand McNally,$16.95 ,"11,958","4.7 out of 5 stars 11,958",Spiral-bound
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,$13.76 ,"66,694","4.6 out of 5 stars 66,694",Hardcover
Book of Questions,Pablo Neruda,$17.99 ,1,5.0 out of 5 stars 1,Hardcover
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,$16.88 ,"43,332","4.6 out of 5 stars 43,332",Board book
Because I Had a Teacher — New York Times best seller,Kobi Yamada,$7.19 ,"3,373","4.9 out of 5 stars 3,373",Hardcover
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",Megan Logan MSW  LCSW,$9.59 ,"12,769","4.7 out of 5 stars 12,769",Paperback
Nick and Charlie: A Solitaire Novella (A Heartstopper novella),Alice Oseman,,,,
Jon Taffer,,,,,
Why a Daughter Needs a Mom: Celebrate Your Mother Daughter Bond this Mother's Day with this Sweet Picture Book!,Gregory E. Lang,$6.89 ,"2,349","4.9 out of 5 stars 2,349",Hardcover
Berserk Deluxe Volume 1,Kentaro Miura,$29.99 ,Kentaro Miura,"4.9 out of 5 stars 7,958",Hardcover
Magnolia Table,Joanna Gaines,$16.59 ,"30,163","4.8 out of 5 stars 30,163",Hardcover
The Lincoln Highway: A Novel,Amor Towles,$18.00 ,"45,575","4.4 out of 5 stars 45,575",Hardcover
